DATE	SERIES	OPEN	HIGH	LOW	PREV. CLOSE	LTP	CLOSE	VWAP	52W H	52W L	VOLUME	VALUE	NO. OF  TRADES
01-Jul-25	EQ	"2,055.10"	"2,068.50"	"2,042.60"	"2,056.00"	"2,055.00"	"2,053.80"	"2,055.03"	"2,135.00"	"1,523.25"	1002015	"2,05,91,71,670.90"	57405
30-Jun-25	EQ	"2,040.00"	"2,064.00"	"2,028.00"	"2,044.00"	"2,055.10"	"2,056.00"	"2,048.30"	"2,135.00"	"1,523.25"	1363779	"2,79,34,24,138.00"	79836
27-Jun-25	EQ	"2,060.00"	"2,065.00"	"2,005.00"	"2,053.60"	"2,036.00"	"2,044.00"	"2,038.94"	"2,135.00"	"1,523.25"	6315182	"12,87,62,99,799.70"	106854
26-Jun-25	EQ	"2,018.00"	"2,058.00"	"2,011.80"	"2,011.80"	"2,050.00"	"2,053.60"	"2,038.32"	"2,135.00"	"1,523.25"	1828277	"3,72,66,08,001.30"	72973
25-Jun-25	EQ	"2,028.00"	"2,028.00"	"2,004.00"	"2,009.20"	"2,014.40"	"2,011.80"	"2,011.59"	"2,135.00"	"1,523.25"	998245	"2,00,80,62,293.80"	49245
24-Jun-25	EQ	"2,019.00"	"2,032.40"	"1,999.20"	"1,997.60"	"2,008.00"	"2,009.20"	"2,013.47"	"2,135.00"	"1,523.25"	1717823	"3,45,87,88,232.20"	76667
23-Jun-25	EQ	"1,976.30"	"2,008.40"	"1,950.70"	"1,986.20"	"1,995.00"	"1,997.60"	"1,976.90"	"2,135.00"	"1,523.25"	1125629	"2,22,52,61,119.00"	48143
20-Jun-25	EQ	"1,974.80"	"1,998.90"	"1,965.00"	"1,967.60"	"1,976.80"	"1,986.20"	"1,981.91"	"2,135.00"	"1,523.25"	1931248	"3,82,75,59,461.60"	61506
19-Jun-25	EQ	"1,982.00"	"1,996.20"	"1,957.40"	"1,981.40"	"1,957.40"	"1,967.60"	"1,977.56"	"2,135.00"	"1,523.25"	745887	"1,47,50,38,868.90"	42353
18-Jun-25	EQ	"2,002.00"	"2,018.00"	"1,975.80"	"2,003.30"	"1,979.00"	"1,981.40"	"1,991.25"	"2,135.00"	"1,523.25"	1401356	"2,79,04,54,663.40"	49869
17-Jun-25	EQ	"2,030.00"	"2,033.90"	"1,996.20"	"2,028.20"	"2,001.00"	"2,003.30"	"2,010.33"	"2,135.00"	"1,523.25"	1220096	"2,45,27,97,642.50"	46951
16-Jun-25	EQ	"2,005.00"	"2,040.00"	"1,998.00"	"2,011.00"	"2,027.00"	"2,028.20"	"2,021.04"	"2,135.00"	"1,523.25"	1645983	"3,32,65,90,146.30"	56868
13-Jun-25	EQ	"2,000.00"	"2,016.90"	"1,980.00"	"2,028.80"	"2,015.00"	"2,011.00"	"2,001.57"	"2,135.00"	"1,523.25"	1418715	"2,83,96,58,571.00"	62774
12-Jun-25	EQ	"2,016.00"	"2,059.70"	"2,012.20"	"2,012.90"	"2,022.10"	"2,028.80"	"2,039.81"	"2,135.00"	"1,523.25"	3783347	"7,71,73,03,144.50"	129337
11-Jun-25	EQ	"2,004.00"	"2,029.00"	"1,982.90"	"1,998.10"	"2,012.00"	"2,012.90"	"2,010.89"	"2,135.00"	"1,523.25"	2245988	"4,51,64,26,342.70"	73336
10-Jun-25	EQ	"2,022.10"	"2,028.30"	"1,988.10"	"2,017.40"	"1,997.50"	"1,998.10"	"2,001.17"	"2,135.00"	"1,523.25"	3306765	"6,61,74,02,325.50"	140758
09-Jun-25	EQ	"2,001.00"	"2,057.70"	"1,991.00"	"1,990.00"	"2,021.00"	"2,017.40"	"2,024.25"	"2,135.00"	"1,523.25"	4221378	"8,54,51,34,559.40"	117014
06-Jun-25	EQ	"1,968.00"	"2,018.70"	"1,921.00"	"1,944.00"	"1,988.70"	"1,990.00"	"1,970.83"	"2,135.00"	"1,419.05"	6970191	"13,73,70,86,206.10"	173271
05-Jun-25	EQ	"1,961.00"	"1,965.90"	"1,929.10"	"1,956.10"	"1,944.90"	"1,944.00"	"1,944.21"	"2,135.00"	"1,419.05"	1808602	"3,51,62,97,284.30"	78655
